id,sent0,sent1,gold
train_06340,Apple is up after falling,Apple is ripe after falling,0
train_06341,Jim is standing on the stone pier,Jim is standing on tofu,1
train_06342,I saw outside the house through the wall.,I saw outside the house through the glass.,0
train_06343,She is waiting for the plane at the airport.,She is waiting for the ship at the airport.,1
train_06344,Dad pierced the board with eggs,Dad pierced the board with nails,0
train_06345,Workers smelt iron from the original stone,Workers smelt iron from water,1
train_06346,Harry is sweeping the floor with a knife,Harry is sweeping the floor with a broom,0
train_06347,The hail fell in the sky,The gold fell in the sky,1
train_06348,Fishes grows on the ground,Bamboo grows on the ground,0
train_06349,Uncle is smoking,A tiger is smoking,1
train_06350,Jane wore a basketball today.,Jane wore a new dress today.,0
train_06351,The lighter ignited a cigarette,The lighter ignited  iron,1
train_06352,The peasant stripped the rabbit from the lotus root,The peasant stripped the scorpion from the lotus root,0
train_06353,Farmers are planting food,Farmers are planting people,1
train_06354,The excavator dug sun in the ground,The excavator dug gold in the ground,0
train_06355,The rabbit was killed by the tiger,The rabbit was killed by corn,1
train_06356,Scientist looking for sharks in the grass,Scientist looking for herbs in the grass,0
train_06357,Satan is going to the cinema to watch a movie.,Satan is going to the cinema to ride a roller coaster,1
train_06358,He saw his father in the mirror,He saw himself in the mirror,0
train_06359,Jimmy married a foreigner.,Jimmy married an alien.,1
train_06360,I sleep on a steel nail,I sleep in bed,0
train_06361,Harry plays games in the Internet cafe,Harry plays golf in the internet cafe,1
train_06362,Mother hung a shark on the wall,Mother hung a mural on the wall,0
train_06363,Lunch at noon is chicken legs,Lunch at noon is paper,1
train_06364,Bees are eating meat,Bees are collecting nectar,0
train_06365,Dad is bigger than me.,Dad is bigger than an whale,1
train_06366,The tank can fly above the clouds,The plane can fly above the clouds,0
train_06367,The explorer crossed a desert,The explorer crossed a galaxy,1
train_06368,The soldiers put basketballs into the pistol,The soldiers put bullets into the pistol,0
train_06369,Parkour man walking on the wall,Parkour man walking on the pool,1
train_06370,A hourse climbed to the top of the tree,A cat climbed to the top of the tree,0
train_06371,Grandpa caught a big fish,Grandpa caught a blue whale,1
train_06372,Performer holding a car to walk the tightrope,Performer holding a steel rod to walk the tightrope,0
train_06373,Mother puts clothes in the washing machine,Mother puts the computer in the washing machine,1
train_06374,He broke his basketball,He broke his bracelet,0
train_06375,Photographer taking photos with camera,Photographer taking photos with headphones,1
train_06376,I put my clothes on the bathroom.,I put my clothes on the balcony.,0
train_06377,Tom just went to Thailand for a tour,Tom just went to Mars for a tour,1
train_06378,Jim found gold in the bread.,Jim found gold in the desert.,0
train_06379,Monkeys can climb trees,Monkeys can fly,1
train_06380,Rainbow is produced on sunny days,Rainbow is produced on rainy days,0
train_06381,He grabbed a doll from the doll machine,He grabbed a dinosaur from the doll machine,1
train_06382,3d printing can print people,3d printing can print car,0
train_06383,You can call on land,You can call underwater,1
train_06384,The teacher taught the rabbit to talk,The teacher taught the students to talk,0
train_06385,Alcohol can make you drunk,Alcohol can make you more powerful,1
train_06386,Crocodile cubs can eat milk,Panda cubs can eat milk,0
train_06387,I jump high because I have good jumping ability.,I jumped high because gravity is small for me.,1
train_06388,You don't feel hot because the sun itself is low,You don't feel hot because the sun is far away,0
train_06389,Calendar can record the number of days,Calendar can change the number of days,1
train_06390,Practicing English allows you to be foreigners,Practicing English allows you to communicate with foreigners,0
train_06391,He live in a mansion,He live under water,1
train_06392,You can break the cement column,You can break the chopsticks,0
train_06393,Seagulls can eat fish,Seagulls can eat blue whales,1
train_06394,The thermometer can change temperature,Thermometer can measure temperature,0
train_06395,People can raise fish in the water tank,People can raise lions in the water tank,1
train_06396,I am traveling by turtle.,I am traveling by train.,0
train_06397,The grass is covered with dewdrops,The grass is covered with gold,1
train_06398,The desk lamp illuminates the room,The desk lamp illuminates the room,0
train_06399,Robots can talk,Robots can eat food,1
train_06400,Noodles are made of iron,Noodles are made of flour,0
train_06401,I shot a tiger with a gun.,I shot a mammoth with a gun.,1
train_06402,Grass is blossoming,Rose is blossoming,0
train_06403,Cobra sprays out venom,Rabbit sprays out venom,1
train_06404,Squeeze the iron on the bread,Squeeze the mustard on the bread,0
train_06405,Hair can be made into a brush,Grass can be made into a brush,1
train_06406,The pen needs to absorb oil,The pen needs to absorb ink,0
train_06407,There is biogas in the sewer,There is cloud in the sewer,1
train_06408,Snakes can shine,Fireflies can shine,0
train_06409,Dad lights the paper,Dad lights water,1
train_06410,He is giving a massage to the hedgehog,He is giving a massage to the customer,0
train_06411,He pierced the board with a sword,He pierced the board with glass rod,1
train_06412,Leaves grow on the tigers,Leaves grow on the branches,0
train_06413,He put dumplings into the pot,He put stars into the pot,1
train_06414,Monkey climbs the cloud,Monkey climbs the tree,0
train_06415,I put a phone in my pocket.,I put a lion in my pocket.,1
train_06416,Dad is surfing on the desert,Dad is surfing on the sea,0
train_06417,He lit the cigarette with fire,He lit the cigarette with water,1
train_06418,The seagull caught a whale,The seagull caught a fish,0
train_06419,He picked an apple from the tree,He picked bamboo from the tree,1
train_06420,He is lying on the lake,He is lying on the land,0
train_06421,Fire torch can barbecue,Water spray gun can barbecue,1
train_06422,Mosquito coil can kill spiders,Mosquito coil can kill mosquitoes,0
train_06423,Pete is listening to music with headphones,Pete is watching movie with headphones,1
train_06424,Kevin is getting a haircut with a razor,Kevin is shaving with a razor,0
train_06425,This cat is eating fish,This cat is hatching eggs,1
train_06426,He hit the gun target with a tank,He hit the gun target with a pistol,0
train_06427,Flytrap can catch flies,Flytrap can catch tigers,1
train_06428,You can plant lotus on the ground,You can plant watermelon on the ground.,0
train_06429,You can get knowledge in the book,You can get barbecue in the book.,1
train_06430,Mary stayed in the sea for ten days.,Mary stayed at home for ten days.,0
train_06431,Mother is using a gas stove to porridge,Mother is using the refrigerator to porridge,1
train_06432,I am washing my hands with oil.,I am washing my hands with soap.,0
train_06433,Uncle saw an elephant on the street,Uncle saw a dinosaur on the street,1
train_06434,She woke up at twenty five o'clock today.,She woke up at eight o'clock today.,0
train_06435,He was scratched by the blade,He was scratched by the water,1
train_06436,Lumberjack cuts trees with tofu,Lumberjack cuts trees with an axe,0
train_06437,Squirrel coarse storage of pine nuts for winter,Squirrel coarse storage of honey for winter,1
train_06438,Eagle catches lions as food,Eagle catches snake as food,0
train_06439,Someone can pick up darts by hand,Someone can pick up bullets by hand,1
train_06440,Dad is riding at sea,Dad is sailing at sea,0
train_06441,He has some bread for breakfast every day.,He has some stones for breakfast every day.,1
train_06442,I often drink some peanut oil in the afternoon.,I often drink some tea in the afternoon.,0
train_06443,She often rides a bike to school.,She often rides a bird to school.,1
train_06444,Tom uses a microwave oven to call me.,Tom uses a telephone to call me.,0
train_06445,Mary has dogs to play with.,Mary has dinosaurs to play with.,1
train_06446,Linda does her homework by nose.,Linda does her homework by hand.,0
train_06447,Water is for drinking.,Mud is for drinking.,1
train_06448,Apples can be used to extract oil.,Peanuts can be used to extract oil.,0
train_06449,Refrigerators can freeze.,Air conditioners can freeze.,1
train_06450,We can cook in the toilet.,We can cook in the kitchen.,0
train_06451,Spoons are used for soup.,Chopsticks are used for soup.,1
train_06452,Paper can be used as a mirror.,Glass can be used as a mirror.,0
train_06453,Baby combs his hair with a comb.,Baby combs his hair with a mirror.,1
train_06454,Flour supplements calcium in human body.,Milk powder supplements calcium in human body.,0
train_06455,Sunscreen can be used to protect against ultraviolet rays.,Cream can be used to protect against ultraviolet rays.,1
train_06456,A sphere has six faces.,A cube has six faces.,0
train_06457,Cut down trees with an axe.,Cut down trees with a hammer.,1
train_06458,The remote control charges the cell phone.,The charger charges the cell phone.,0
train_06459,Facial mask moisturizes the face.,Eye mask moisturizes the face.,1
train_06460,The umbrella sheltered us from the haze.,The umbrella sheltered us from the rain.,0
train_06461,Masks can block the haze.,Masks can block the air.,1
train_06462,Nose can be used to see things.,Eyes can be used to see things.,0
train_06463,Cut paper with scissors.,Cut paper with glue.,1
train_06464,Mirrors can be used to take pictures.,Cameras can be used to take pictures.,0
train_06465,Glasses can help us see things.,Masks can help us see things.,1
train_06466,Body Lotion protects our hands.,Hand cream protects our hands.,0
train_06467,Windows can keep out the wind.,Screens can keep out the wind.,1
train_06468,I put my clothes in the cupboard.,I put my clothes in the wardrobe.,0
train_06469,The dog wags its tail to show its kindness to its owner.,The dog barks to show its kindness to its owner.,1
train_06470,He who does not play dies.,He who does not eat dies.,0
train_06471,Mobile phones will shut down without charging.,Mobile phones will explode without charging.,1
train_06472,Southerners like to eat noodles.,Southerners like to eat rice.,0
train_06473,We can use tablets to learn.,We can use mirrors to learn.,1
train_06474,Ducks can fly.,Birds can fly.,0
train_06475,Rabbits love to eat carrots.,Tigers love to eat carrots.,1
train_06476,Stones melt when heated.,Ice cream melts when heated.,0
train_06477,People yawn when they are tired.,People sneeze when they are tired.,1
train_06478,Ordinary pencils can be replaced with lead cores.,Automatic pencil can replace lead core.,0
train_06479,The sun rises in the morning.,The sun sets in the morning.,1
train_06480,Astronauts wear ordinary clothes in space.,Astronauts wear spacesuits in space.,0
train_06481,The earth revolves around the sun.,The moon revolves around the sun.,1
train_06482,Dragonflies are attracting the opposite sex.,Dragonflies are laying eggs.,0
train_06483,Basketball is played by hand.,Football is played by hand.,1
train_06484,We use the mouse to enter text.,We use the keyboard to enter text.,0
train_06485,It is said that Santa Claus gives gifts on Christmas Day.,It is said that Santa Claus will give gifts on Lantern Festival.,1
train_06486,Plum blossoms blossom in summer.,Lotus blossoms in summer.,0
train_06487,Lotus is the flower that lives in water.,Lotus is the flower that lives on land.,1
train_06488,People can absorb carbon dioxide.,Plants can absorb carbon dioxide.,0
train_06489,Panda is China's national treasure.,Koala is China's national treasure.,1
train_06490,We need to take our bag on rainy days.,We need to take an umbrella when it rains.,0
train_06491,Rainbows come in seven colors.,Clouds come in seven colors.,1
train_06492,Cicadas glow in the dark.,Fireflies glow in the dark.,0
train_06493,Hermit crabs change their shells many times in their lifetime.,Snails change their shells many times in their lives.,1
train_06494,Flowers turn yellow in autumn.,Leaves turn yellow in autumn.,0
train_06495,Camels live in deserts.,Hippos live in the deserts.,1
train_06496,Tadpoles grow into butterflies.,Caterpillars grow into butterflies.,0
train_06497,We wash dishes with detergent.,We wash dishes.with laundry detergent.,1
train_06498,Silver can be used as a thermometer.,Mercury can be used as a thermometer.,0
train_06499,Water-splashing Festival is a Dai festival.,Water-splashing Festival is a Tibetan festival.,1
train_06500,The Potala Palace is a famous building in Xinjiang.,The Potala Palace is a famous building in Tibet.,0
train_06501,Edison invented the light bulb.,Einstein invented the light bulb.,1
train_06502,Wild geese hibernate in winter.,Bears hibernate in winter.,0
train_06503,Mosquitoes bite and suck blood.,Flies bite and suck blood.,1
train_06504,Cherry blossom is the national flower of the Netherlands.,Tulip is the national flower of Holland.,0
train_06505,Pens can be filled with ink.,Pencils can be filled with ink.,1
train_06506,Xiaoming measured the length with a knife.,Xiao Ming measures the length with a ruler.,0
train_06507,Watermelon juice is red.,Cucumber juice is red.,1
train_06508,Mother works in the box.,Mother works in the house.,0
train_06509,Dad goes to work by subway.,Dad goes to work by spaceship.,1
train_06510,My brother goes to school with firecrackers on his back.,My brother goes to school with schoolbag on his back.,0
train_06511,The teacher assigns homework to the students.,The classroom assigns homework to the students.,1
train_06512,Mary is walking her dinosaurs.,Mary is walking her dogs.,0
train_06513,Bob bathed in water.,Bob bathed in mud.,1
train_06514,The teacher is correcting the literature.,The teacher is correcting the homework.,0
train_06515,The mother tongue of Chinese is Chinese.,The mother tongue of Chinese is English.,1
train_06516,Tattoos are traditional Chinese cuisine.,Tattoos are traditional Japanese cuisine.,0
train_06517,We wear cotton jackets in winter.,We wear cotton jackets in summer.,1
train_06518,My uncle picks fruit in winter.,My uncle picks fruit in autumn.,0
train_06519,Kevin took the dog on the train.,Kevin took the dog to the rocket.,1
train_06520,Daisy put the food in the air conditioner.,Daisy put the food in the fridge.,0
train_06521,Joan soaked the tea in water.,Joan soaked the tea in oil.,1
train_06522,People with colds need the dishcloth to wipe their noses.,People with colds need the paper towel to wipe their noses.,0
train_06523,The steak is cooked in a pan.,The steak is cooked in a bowl.,1
train_06524,George wore a pyjamas to work.,George wore a suit to work.,0
train_06525,Grandma knits with thread.,Grandma knits with clouds.,1
train_06526,Programmers use looms to program.,Programmers use computers to program.,0
train_06527,Aunt folded up the clothes.,Aunt folded up the glass.,1
train_06528,Cloth bags are waterproof.,Plastic bags can be waterproof.,0
train_06529,Girls use makeup cotton to remove makeup.,Girls use toilet paper to remove makeup.,1
train_06530,Ancient people used ice for heating in winter.,Ancient people used stoves for heating in winter.,0
train_06531,Normal people drink eight glasses of water every day.,Normal people drink eight glasses of drinks a day.,1
train_06532,People brush their teeth with a comb every day.,People brush their teeth with toothbrushes every day.,0
train_06533,Dogs like to eat bones.,Birds like to eat bones.,1
train_06534,Ancient people used monkeys to grind.,Ancient people used donkeys to grind.,0
train_06535,Bees go out gather pollen to make honey.,Bees go out to gather dew to make honey.,1
train_06536,The crow sings very well.,The nightingale sings very well.,0
train_06537,The courier delivered the courier to his home.,The courier delivered the goods to his home.,1
train_06538,The operator translated the speech to the audience.,The translator translated the speech to the audience.,0
train_06539,The architects designed and built the downtown building.,The programmers designed and built downtown buildings.,1
train_06540,Traffic police stand guard at home.,Traffic police stand guard at the crossing.,0
train_06541,Sanitation workers clean the roadside.,Teachers cleaned the roadside.,1
train_06542,The conductor is selling goods to customers.,The salesman is selling goods to customers.,0
train_06543,Roses are sent on Valentine's Day.,Peony flowers are sent on Valentine's Day.,1
train_06544,A tie is used to tie the waist.,A belt is used to tie the waist.,0
train_06545,Tetanus kills people.,A strong wind kills people.,1
train_06546,People bitten by dogs need to break the cold vaccine.,People bitten by dogs need rabies vaccine.,0
train_06547,Socks can protect your feet from being worn out.,Gloves protect your feet from being worn out.,1
train_06548,Books record what happens every day.,Newspapers record what happens every day.,0
train_06549,The car ran on the road.,The ship ran on the road.,1
train_06550,I wipe my hair with a quilt.,I wipe my hair with a towel.,0
train_06551,The glasses are in the glasses box.,The eyes are in the glasses box.,1
train_06552,Milk can refresh people.,Coffee can refresh people.,0
train_06553,Coffee beans are used to grind coffee.,Coffee beans are used to grind cocoa.,1
train_06554,Flower tea is fermented tea.,Black tea is fermented tea.,0
train_06555,Salt can make vegetables salty.,Sugar can make vegetables salty.,1
train_06556,The wool is used to transmit electricity.,The wire is used to transmit electricity.,0
train_06557,Crocodiles live in rivers.,Squids live in rivers.,1
train_06558,Strawberries grow on trees.,Apples grow on trees.,0
train_06559,Wool comes out of sheep.,Wool comes out of wolves.,1
train_06560,Mosquito nets can keep out the sun.,Curtains can keep out the sun.,0
train_06561,The steel film can protect the screen of mobile phone.,The steel film can protect the mobile phone shell.,1
train_06562,Fish breathe through their skin.,Earthworms breathe through their skin.,0
train_06563,Girls tie their hair with leather bands.,Girls tie their hair with wires.,1
train_06564,Plastic bottles can hold boiling water.,Glass bottles can hold boiling water.,0
train_06565,The singer sings in his voice.,The singer sings with his feet.,1
train_06566,The doctor listened to the heartbeat with a remote control.,The doctor listens to the heartbeat with a stethoscope.,0
train_06567,The nurse injected the patient with a needle tube.,The nurse injected the patient with a bandage.,1
train_06568,The tailor makes clothes with a TV set.,The tailor makes clothes with a sewing machine.,0
train_06569,The stewardess works on the plane.,The stewardess works on the spaceship.,1
train_06570,The cook stirs the dishes with a spoon.,The cook stirs the dishes with a shovel.,0
train_06571,The barber cut his hair with scissors.,The barber cut his hair with soap.,1
train_06572,Charger can be used to listen to music.,Headphones can be used to listen to music.,0
train_06573,The car ran on the highway.,The car ran on the railway.,1
train_06574,Linda puts the snacks in the washing machine.,Linda puts the clothes in the washing machine.,0
train_06575,Lipstick can make lips red.,Lip gloss can make lips red.,1
train_06576,"There are lions, elephants and tigers in the park.","There are lions, elephants and tigers in the zoo.",0
train_06577,There are geese in the sky.,There are small fish in the sky.,1
train_06578,Pilots drove the tank.,Pilots drove the plane.,0
train_06579,Family teachers teach children.,Family teachers teach small animals.,1
train_06580,The cameraman made up the actors.,The cameraman took pictures of the actors.,0
train_06581,Microwave ovens can be used to heat food.,The washing machine can be used to heat food.,1
train_06582,The mat can be used to keep warm.,Electric blankets can be used to keep warm.,0
train_06583,Toothpaste can be used to brush teeth.,Milk powder can be used to brush teeth.,1
train_06584,Mineral water can be used to blow bubbles.,Soap water can be used to blow bubbles.,0
train_06585,Tablets can cure diseases.,Sugar pills can cure diseases.,1
train_06586,The paper can prevent water from leaking.,The lid can prevent water from leaking.,0
train_06587,Potato chips are made of potatoes.,Potato chips are made of cucumbers.,1
train_06588,The powder box can be used to put glasses.,The glasses box can be used to put glasses.,0
train_06589,Trucks run on the highway.,Tricycles run on the highway.,1
train_06590,People run on non-motorized lanes.,Bicycles run on non-motorized lanes.,0
train_06591,Hand cream protects the hand from frostbite.,Ice block protects the hand from frostbite.,1
train_06592,The locks need hair to open.,The lock needs a key to open.,0
train_06593,Ancient accountants needed an abacus to settle their accounts.,Ancient accountants needed a calculator to settle accounts.,1
train_06594,Lawyers use the force to sue.,Lawyers use the law to sue.,0
train_06595,Reporters use microphones to interview.,Reporters use cups to interview.,1
train_06596,The painter draws with his hair.,The painter draws with his pen.,0
train_06597,Pianists use their hands to play the piano.,Pianists use their tongue to play the piano.,1
train_06598,Sculptors use cotton swabs to sculpt.,Sculptors use knives to sculpt.,0
train_06599,The typist typed with a keyboard.,The typist typed with a mouse.,1
train_06600,The bartender mixes wine with his mouth.,The bartender mixed the wine with a glass.,0
train_06601,Bob is blaming others.,Bear is blaming others..,1
train_06602,He watered the flowers with gasoline,He watered the flowers with water,0
train_06603,Ton feeds pandas with bamboo,Ton feeds tigers with bamboo,1
train_06604,Sam sewed clothes with sticks,Sam sewed his clothes with a needle,0
train_06605,He refrigerated himself with air conditioning.,He refrigerated himself with heating,1
train_06606,He pushed the house by hand,He pushed the box by hand.,0
train_06607,Wrtyuio packed his clothes in a wardrobe.,Wrtyuio used the wardrobe lion,1
train_06608,He eats steel.,He eats food.,0
train_06609,People eat with tableware,People eat with stones,1
train_06610,People plant stones in the land.,People grow crops in the land.,0
train_06611,Ants in the desert,Crocodiles in the desert,1
train_06612,Ants in the sea,Whales in the sea,0
train_06613,Tigers eat meat,Elephants eat meat,1
train_06614,dog is cooking.,People are cooking,0
train_06615,He picks vegetables with chopsticks,He clipped the elephant with chopsticks,1
train_06616,Bob cut the steel plate with a knife.,Bob cut vegetables with a knife,0
train_06617,Gloves protect hands,Gloves protect the feet,1
train_06618,Chimpanzees are playing with computers,He's playing with a computer.,0
train_06619,Bob is driving.,monkey is driving.,1
train_06620,tiger is eating vegetables,He's eating vegetables.,0
train_06621,She is combing her hair.,Dolphins combing their hair,1
train_06622,dog is pushing the box.,He is pushing the box,0
train_06623,He's wearing shoes.,Snakes wearing shoes,1
train_06624,Pandas drink water from cups,He drank water from a cup.,0
train_06625,gardener is pruning the flowers and plants.,dog is pruning the flowers and grass,1
train_06626,ant is correcting the composition,Bob is revising his composition,0
train_06627,Tim washed his feet in a basin,He washed his feet in a cup of water,1
train_06628,He clings to the tree with a stick,He bent the tree with a saw,0
train_06629,stopper is at the mouth of the bottle.,needle is at the mouth of the bottle.,1
train_06630,Human Respiratory Gas,Human breathing air,0
train_06631,He watched the scenery with a telescope,He looks at the scenery with chopsticks,1
train_06632,Mouse is made of rubber,Mouse is made of plastic,0
train_06633,People fight with guns,People fight with cups,1
train_06634,Shoes shine on the earth,The sun shines on the earth,0
train_06635,Fire cooked the food.,Refrigerators cook food,1
train_06636,People eat with their feet.,People eat with their mouths,0
train_06637,He cut his hair with scissors.,He cut his hair by hand,1
train_06638,Driving is good for the environment,Saving electricity is beneficial to the environment,0
train_06639,He's reciting words.,Bears recite words,1
train_06640,Snake is doing homework,He is doing his homework.,0
train_06641,Teachers teach students,Dogs are teaching students,1
train_06642,The table is fighting.,They are fighting.,0
train_06643,They are running in a race.,lamp is running in the race,1
train_06644,Ants in the exam,Students in exams,0
train_06645,The headmaster is making a speech.,The sun is speaking.,1
train_06646,pliers are repairing the air conditioner,Bob's fixing the air conditioner.,0
train_06647,Bob is peeping at others.,bottle is peeping at others.,1
train_06648,Dog is cleaning.,He's cleaning.,0
train_06649,Yiui's turning over the wall.,snake is turning over the wall,1
train_06650,Stone is playing basketball,Students are playing basketball.,0
train_06651,Students are cheating,Bag is cheating,1
train_06652,Mobile phones are moving tables,The students are moving tables,0
train_06653,He lost his hair.,Dolphin lost his hair,1
train_06654,Clothes breathing,Tim's breathing.,0
train_06655,Bob's drinking protein powder.,Stick is drinking protein powder.,1
train_06656,People are playing movies.,The computer is playing movies.,0
train_06657,Boys have a crush on girls,Books have a crush on girls,1
train_06658,Sheep are eating mutton,He's eating mutton.,0
train_06659,Huawei is a national brand,Apple is a national brand,1
train_06660,Bicycle control computer,Code can control computer,0
train_06661,Dog is fighting.,Stone is fighting,1
train_06662,Tom charged it with wood.,Tom charged it with a charger.,0
train_06663,Gasoline can burn.,Water can burn,1
train_06664,United States is Chinese,Hong Kong is Chinese,0
train_06665,Sam's taking pictures.,dog is taking pictures.,1
train_06666,Wood is breathing air.,Tom's breathing air.,0
train_06667,Tim invented air conditioning.,Stone invented air conditioning,1
train_06668,Ants are building houses.,He's building a house.,0
train_06669,Bob's pulling out his ears.,Bacteria are digging their ears.,1
train_06670,Monkeys are playing games.,Gos's playing games.,0
train_06671,Coffee helps refresh,Sleeping pills help refresh,1
train_06672,Sugar water is very salty.,sea is salty.,0
train_06673,Nuclear energy is clean energy,Coal is a Clean Energy,1
train_06674,Pure water makes people fat,Coke makes people fat,0
train_06675,Man cutting his nails,Dolphins cutting their nails,1
train_06676,Lions make shoes,Workers make shoes,0
train_06677,He eats with chopsticks,Crocodiles eat with chopsticks,1
train_06678,Students should select class representatives,Teachers should select class representatives.,0
train_06679,They are quarrelling.,Stone are quarrelling,1
train_06680,bucket sits on the chair.,Sam sat in a chair.,0
train_06681,Tom is swimming.,Stone is swimming,1
train_06682,Dolphin's switching his pen.,Mimi's switching his pen.,0
train_06683,Sam is reading the text aloud,Wood is reading the text aloud.,1
train_06684,Iron bar is correcting work,Ton is correcting homework.,0
train_06685,Machines are producing parts,Machines are producing life,1
train_06686,Bosses hire contract,Bosses hire workers,0
train_06687,Students should pay tuition fees,Schools should pay tuition fees,1
train_06688,pen is writing.,Sam is writing.,0
train_06689,Trees can blossom,Stone can blossom,1
train_06690,table needs electricity.,Air conditioning needs electricity,0
train_06691,Sam raised the table.,Sam raised the mountains.,1
train_06692,He's eating eggshells.,He's peeling eggshells.,0
train_06693,Edison invented the light bulb,Bear invented the light bulb,1
train_06694,Myopic mirror is convex lens,Presbyopia is convex lens,0
train_06695,Shoes strapped to the feet,Hat strapped to the feet,1
train_06696,Lions are eating trees,Lions are eating meat,0
train_06697,Sam is watching variety shows on TV.,Sam is watching variety shows on stones,1
train_06698,Tin plays football with his hand.,Tin plays football with his feet.,0
train_06699,Tom bathed in water.,Tom bathed in magma.,1
train_06700,People can predict earthquakes.,People can feel earthquakes,0
train_06701,Gasoline is Human Energy,Stone is human's energy source,1
train_06702,Basketball was invented by monkeys,Basketball was invented by human beings,0
train_06703,moon revolves around the earth,moon revolves around the sun,1
train_06704,Cars should pass at red lights,Cars should pass at green lights,0
train_06705,Peaches grow on trees,Watermelons grow on trees,1
train_06706,People drink seawater,People drink drinking water,0
train_06707,Sam used water to put out the fire.,Sam uses oil to put out fires.,1
train_06708,Wendy charged his cell phone with a stone,Wendycharged his cell phone with electricity.,0
train_06709,Airplanes fly in the sky,Airplanes fly in the seawater,1
train_06710,Haze is an energy source,Haze is a weather phenomenon.,0
train_06711,People keep warm with clothes,People keep warm with water,1
train_06712,He is washing clothes with coffee,He's washing clothes with laundry detergent,0
train_06713,He uses a basin to load his clothes.,He uses a basin to hold a whale.,1
train_06714,People can see things in the dark,People can see things in the light,0
train_06715,Waste paper can be recycled,Nuclear waste can be recycled,1
train_06716,He clamped walnuts with pillow,He clamped walnuts with pliers,0
train_06717,Ice is very cold.,Fire is very cold.,1
train_06718,Black pigments can bleach,Bleaching agents can bleach,0
train_06719,Linda is driving a car.,Linda is driving a house.,1
train_06720,English is the most widely used language in the world,Chinese is the most widely used language in the world,0
train_06721,Ton brushes his teeth with a toothbrush,Ton brushed his teeth with a knife,1
train_06722,Fucv's eating stone,Fucv's eating rice,0
train_06723,Linlin goes to school by bus.,Linlin goes to school by whale.,1
train_06724,Sam is listening to the lectern,Sam is listening to the teacher.,0
train_06725,Ton is drawing with a pen.,Ton's drawing with rubber.,1
train_06726,Chalk contain knowledge,Books contain knowledge.,0
train_06727,Water heaters can heat water.,Bed sheets can heat water.,1
train_06728,Animals can photosynthesize,Plants can photosynthesize,0
train_06729,Mosquito blood sucking,Lions blood sucking,1
train_06730,tiger is grazing.,sheep are grazing.,0
train_06731,Jenjy's drinking water.,Cactus is drinking water,1
train_06732,axe can play music,Headphones can play music.,0
train_06733,singer is singing,Bacteria is singing,1
train_06734,He wiped things with a stick.,He wiped things with toilet paper.,0
train_06735,car is powered by gasoline.,Vehicles are powered by water,1
train_06736,stone are dancing,People are dancing.,0
train_06737,actors are making movies.,Trees are making movies.,1
train_06738,He's cutting with a paper,He's cutting with a knife.,0
train_06739,People live on the earth,People live on the moon,1
train_06740,Trees contain radiation,Blue light contains radiation,0
train_06741,Iron and steel can be recycled,Medical supplies can be recycled,1
train_06742,Flooring has absorption function,Air cushion has cushioning effect,0
train_06743,Coke is a carbonated drink,Pulsation is a carbonated drink.,1
train_06744,Wood boards are made of rubber,Wood boards are made of trees.,0
train_06745,Plastics can be synthesized,Seawater can be synthesized,1
train_06746,He drove the car into the box.,He drove the car into the garage.,0
train_06747,He is posting letters.,He is posting mountains.,1
train_06748,farmer islitigation,lawyer is litigation,0
train_06749,Sugar provides energy.,Salt can provide energy.,1
train_06750,sea is hot.,Chili peppers are very hot.,0
train_06751,Protein powder contains protein,Cement contains protein,1
train_06752,He's operating with a  toothpicks.,He's operating with a scalpel.,0
train_06753,Milk is rich in nutrition.,Stone is rich in nutrition.,1
train_06754,Cruise ships can explore space,Rockets can explore space,0
train_06755,Driving requires a driver's license,Driving needs leather shoes,1
train_06756,Table emit light.,Fireflies emit light.,0
train_06757,Cotton is a crop.,Book is a crop.,1
train_06758,He's flying.,He's stirring up vegetables.,0
train_06759,Watches can show time.,table can show the time.,1
train_06760,Stone is a human organ,heart is a human organ.,0
train_06761,Bread is a kind of food.,table is a kind of food.,1
train_06762,He deposited money in his clothes.,He deposited his money in the bank.,0
train_06763,Human beings contain skin,Bacteria contain skin,1
train_06764,air is running.,He is running.,0
train_06765,Bed is a kind of furniture,Scissor is a kind of furniture,1
train_06766,Universe Contains Air,Earth contains air.,0
train_06767,Toothpaste cleans the mouth,Cold medicine cleans the mouth,1
train_06768,He's drinking oil.,He's drinking milk tea.,0
train_06769,Stomach pain is a disease,Running is a disease,1
train_06770,Human beings can absorb solar energy,Plants can absorb solar energy,0
train_06771,Bullet-proof can block bullets,Cotton-padded clothes can block bullets,1
train_06772,Cold medicines can create hallucinations,Drugs can create hallucinations,0
train_06773,The key can be unlocked.,T-shirt can be unlocked,1
train_06774,Bob twisted the screw with pliers.,Bob twisted the screw with a screwdriver,0
train_06775,John is writing with a pen.,Jhn is writing with a box,1
train_06776,Stone is carrying things.,Jerry's carrying things.,0
train_06777,Sam poured water into the cup.,Sam poured water into the mobile phone,1
train_06778,Tom put the battery in his microwave oven.,Tom put the battery in his cell phone.,0
train_06779,Tom threw the basketball into the basket.,Tom threw the mountains into the basket.,1
train_06780,Bird's nest can be manufactured,Vitamins can be manufactured,0
train_06781,Pillow stuffed with cotton,Pillow stuffed with iron,1
train_06782,Bacteria's wearing pants.,Jony's wearing pants.,0
train_06783,Tim carried money with his wallet.,Tim carried money with his key,1
